comment_message,created_time_comment,love_comment,like_comment,angry_comment,sad_comment,haha_comment,wow_comment,label_disagreement,label_antagonism,score_0_disagreement,score_1_disagreement,score_0_antagonism,score_1_antagonism,disagreement,antagonism,post_message,status_type,attachment_title,attachment_description,created_time_post,comment_count,love_post,like_post,angry_post,sad_post,haha_post,wow_post,shares,page_name,category,page_like_count,website,location_json,id_comment,id_post,id_page
O se los pusieron hay para un falso positivo,15-02-22 16:22,0,0,0,0,0,0,not disagreement,,0.220253661,0.779746354,,,1,,"Un presunto miembro del grupo guerrillero del ELN fue capturado por el Ejército en zona rural del municipio de Mistrató, portaba material explosivo.
#ElDiario #Judicial #Risaralda #ELN",added_video,Captura a presunto miembro del grupo ELN,,15-02-22 15:43,3,0,57,0,0,0,5,9,El Diario Pereira,Newspaper,84240,www.eldiario.com.co,"{""city"": ""Pereira"", ""street"": ""Cr 8 No. 22-75"", ""country"": ""Colombia"", ""latitude"": 4.8140743, ""longitude"": -75.6975244}",https://www.facebook.com/119911454693892/posts/5229676327050687/?comment_id=5229777663707220,119911454693892_5229676327050687,1.20E+14
Y de que resguardo indígena era ?? Gobernador o guardia indigena ??,15-02-22 18:49,0,0,0,0,0,0,not disagreement,,0.374114454,0.625885606,,,1,,"Un presunto miembro del grupo guerrillero del ELN fue capturado por el Ejército en zona rural del municipio de Mistrató, portaba material explosivo.
#ElDiario #Judicial #Risaralda #ELN",added_video,Captura a presunto miembro del grupo ELN,,15-02-22 15:43,3,0,57,0,0,0,5,9,El Diario Pereira,Newspaper,84240,www.eldiario.com.co,"{""city"": ""Pereira"", ""street"": ""Cr 8 No. 22-75"", ""country"": ""Colombia"", ""latitude"": 4.8140743, ""longitude"": -75.6975244}",https://www.facebook.com/119911454693892/posts/5229676327050687/?comment_id=5230119340339719,119911454693892_5229676327050687,1.20E+14
Todo un angelito.,17-02-22 16:45,0,0,0,0,0,0,not disagreement,,0.131028146,0.868971884,,,1,,"Un presunto miembro del grupo guerrillero del ELN fue capturado por el Ejército en zona rural del municipio de Mistrató, portaba material explosivo.
#ElDiario #Judicial #Risaralda #ELN",added_video,Captura a presunto miembro del grupo ELN,,15-02-22 15:43,3,0,57,0,0,0,5,9,El Diario Pereira,Newspaper,84240,www.eldiario.com.co,"{""city"": ""Pereira"", ""street"": ""Cr 8 No. 22-75"", ""country"": ""Colombia"", ""latitude"": 4.8140743, ""longitude"": -75.6975244}",https://www.facebook.com/119911454693892/posts/5229676327050687/?comment_id=5236298613055125,119911454693892_5229676327050687,1.20E+14
K bien .y cuales seran los beneficios para el Vichada.,19-03-22 21:30,0,0,0,0,0,0,not disagreement,,0.044420823,0.955579162,,,1,,"Con presencia del consejero Presidencial para la Estabilización y la Consolidación, Emilio Archila y el gobernador de Vichada, Álvaro León, se da la firma del Plan Integral para la Implementación de la Política de Paz con Legalidad “Para todo Vichada” 
Siga la transmisión en vivo AQUÍ 👉 https://youtu.be/x1zq8wzmvX0",shared_story,Firma de la Política de Paz Con Legalidad en Vichada,"Les invitamos a la firma del documento, completando 15 departamentos que adoptan la política como propia",19-03-22 17:00,1,5,38,0,0,0,1,10,Gobernación de Vichada,Statsstyret organisation,11811,http://www.vichada.gov.co,"{""zip"": ""990001"", ""city"": ""Puerto Carreño"", ""country"": ""Colombia"", ""latitude"": 5.0033943450221, ""longitude"": -69.2578125}",https://www.facebook.com/1391509957845545/posts/3079823015680889/?comment_id=3079955322334325,1391509957845545_3079823015680889,1.39E+15
Excelente 💙💙💙💙 mi doc,21-06-21 1:07,0,0,0,0,0,0,not disagreement,,0.016242797,0.983757198,,,1,,"¡Siempre será prioridad en mi agenda de trabajo el contacto directo con la comunidad!

Agradezco a Dios por permitirme reencontrarme con amigos de Planadas, para escuchar sus necesidades y socializar juntos a ellos las acciones que hemos liderado para el progreso de esta región próspera del sur del Tolima.",added_photos,Billeder fra Adriana Magali Matiz Representante a la Cámaras opslag,,21-06-21 0:44,2,15,119,0,0,0,0,19,Adriana Magali Matiz Representante a la Cámara,Politiker,15847,https://www.instagram.com/AdrianaMatizTol/,,https://www.facebook.com/391946334478567/posts/1466350847038105/?comment_id=1466362917036898,391946334478567_1466350847038105,3.92E+14
"Excelente trabajo Dra Adriana, mi admiracion, respeto y cariño para una gran mujer!",21-06-21 1:22,0,0,0,0,0,0,not disagreement,,0.002381005,0.997618973,,,1,,"¡Siempre será prioridad en mi agenda de trabajo el contacto directo con la comunidad!

Agradezco a Dios por permitirme reencontrarme con amigos de Planadas, para escuchar sus necesidades y socializar juntos a ellos las acciones que hemos liderado para el progreso de esta región próspera del sur del Tolima.",added_photos,Billeder fra Adriana Magali Matiz Representante a la Cámaras opslag,,21-06-21 0:44,2,15,119,0,0,0,0,19,Adriana Magali Matiz Representante a la Cámara,Politiker,15847,https://www.instagram.com/AdrianaMatizTol/,,https://www.facebook.com/391946334478567/posts/1466350847038105/?comment_id=1466370437036146,391946334478567_1466350847038105,3.92E+14
Que escriban algo que sea bueno para la gente con un mesaje de unión no de cosas que la verdad cosas que solo dan maña vibra a la ciudad así el turismo sería algo no muy bueno no sé puede dar mala imagen de la ciudad ,05-07-21 1:09,0,0,0,0,0,0,disagreement,not antagonism,0.867714942,0.132285029,0.005287058,0.994712889,0,1,"Esta noche en Telepacífico Noticias:

En el Chocó decapitan a líder indígena frente a su comunidad,  duelo por la muerte  de una caleña en Francia en un accidente, Calle 5 de Cali en tensión social por pintada sobre graffitis y murales y en la Luna y hoy volvieron a abrir locales, tras cierres por vandalismo. 
En deportes, la polémica: ¿tiene Colombia con qué eliminar a la Argentina?",added_video,Telepacífico Noticias julio 4 del 2021 - Emisión 8:00 p.m.,,05-07-21 1:00,12,3,35,0,1,1,0,10,Telepacífico,Tv-kanal,219732,http://www.telepacifico.com,"{""zip"": ""760042"", ""city"": ""Santiago de Cali"", ""street"": ""Calle 5 # 38ª – 14"", ""country"": ""Colombia"", ""latitude"": 3.4242805250049, ""longitude"": -76.545554101467}",https://www.facebook.com/TelepacificoTV/videos/163947642461775/?comment_id=163963785793494,174053246035183_163947642461775,1.74E+14
Ya trajeron las convivir a cali de la mano del secretario de seguridad y la mal llamada jente de bien de  ciudad balin nos llevaran auna masacre ciudadana y la delincuencia  e inseguridad desbordada ,05-07-21 1:13,0,0,0,0,0,0,disagreement,antagonism,0.995235384,0.004764679,0.503197491,0.496802539,0,0,"Esta noche en Telepacífico Noticias:

En el Chocó decapitan a líder indígena frente a su comunidad,  duelo por la muerte  de una caleña en Francia en un accidente, Calle 5 de Cali en tensión social por pintada sobre graffitis y murales y en la Luna y hoy volvieron a abrir locales, tras cierres por vandalismo. 
En deportes, la polémica: ¿tiene Colombia con qué eliminar a la Argentina?",added_video,Telepacífico Noticias julio 4 del 2021 - Emisión 8:00 p.m.,,05-07-21 1:00,12,3,35,0,1,1,0,10,Telepacífico,Tv-kanal,219732,http://www.telepacifico.com,"{""zip"": ""760042"", ""city"": ""Santiago de Cali"", ""street"": ""Calle 5 # 38ª – 14"", ""country"": ""Colombia"", ""latitude"": 3.4242805250049, ""longitude"": -76.545554101467}",https://www.facebook.com/TelepacificoTV/videos/163947642461775/?comment_id=163966462459893,174053246035183_163947642461775,1.74E+14
NOTICIAS Desagradables ,05-07-21 3:32,0,0,0,0,0,0,disagreement,antagonism,0.860731304,0.139268667,0.863521576,0.136478394,0,0,"Esta noche en Telepacífico Noticias:

En el Chocó decapitan a líder indígena frente a su comunidad,  duelo por la muerte  de una caleña en Francia en un accidente, Calle 5 de Cali en tensión social por pintada sobre graffitis y murales y en la Luna y hoy volvieron a abrir locales, tras cierres por vandalismo. 
En deportes, la polémica: ¿tiene Colombia con qué eliminar a la Argentina?",added_video,Telepacífico Noticias julio 4 del 2021 - Emisión 8:00 p.m.,,05-07-21 1:00,12,3,35,0,1,1,0,10,Telepacífico,Tv-kanal,219732,http://www.telepacifico.com,"{""zip"": ""760042"", ""city"": ""Santiago de Cali"", ""street"": ""Calle 5 # 38ª – 14"", ""country"": ""Colombia"", ""latitude"": 3.4242805250049, ""longitude"": -76.545554101467}",https://www.facebook.com/TelepacificoTV/videos/163947642461775/?comment_id=164035862452953,174053246035183_163947642461775,1.74E+14
Los que dañaron la ciudad la deberían estar arreglando es lo justo,05-07-21 12:26,0,0,0,0,0,0,disagreement,not antagonism,0.923192322,0.076807663,0.12680085,0.873199165,0,1,"Esta noche en Telepacífico Noticias:

En el Chocó decapitan a líder indígena frente a su comunidad,  duelo por la muerte  de una caleña en Francia en un accidente, Calle 5 de Cali en tensión social por pintada sobre graffitis y murales y en la Luna y hoy volvieron a abrir locales, tras cierres por vandalismo. 
En deportes, la polémica: ¿tiene Colombia con qué eliminar a la Argentina?",added_video,Telepacífico Noticias julio 4 del 2021 - Emisión 8:00 p.m.,,05-07-21 1:00,12,3,35,0,1,1,0,10,Telepacífico,Tv-kanal,219732,http://www.telepacifico.com,"{""zip"": ""760042"", ""city"": ""Santiago de Cali"", ""street"": ""Calle 5 # 38ª – 14"", ""country"": ""Colombia"", ""latitude"": 3.4242805250049, ""longitude"": -76.545554101467}",https://www.facebook.com/TelepacificoTV/videos/163947642461775/?comment_id=164286485761224,174053246035183_163947642461775,1.74E+14
